Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 1391,https://www.congress.gov/bill/113th-congress/house-bill/1391,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 25 South Oak Street in London, Ohio, as the ""London Fallen Veterans Memorial Post Office"".","Rep. Stivers, Steve [R-OH-15]",03/21/2013,,,,14,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,12/16/2014,Became Public Law No: 113-207.
H.R. 1299,https://www.congress.gov/bill/113th-congress/house-bill/1299,113th Congress (2013-2014),,White Sands Missile Range Security Enhancement Act,"Rep. Pearce, Stevan [R-NM-2]",03/20/2013,,,,0,"House - Natural Resources, Armed Services",06/24/2013,"Placed on the Union Calendar, Calendar No. 85."
H.R. 1228,https://www.congress.gov/bill/113th-congress/house-bill/1228,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 123 South 9th Street in De Pere, Wisconsin, as the ""Corporal Justin D. Ross Post Office Building"".","Rep. Ribble, Reid J. [R-WI-8]",03/15/2013,,,,7,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,06/09/2014,Became Public Law No: 113-111.
H.R. 1208,https://www.congress.gov/bill/113th-congress/house-bill/1208,113th Congress (2013-2014),,Manhattan Project National Historical Park Act,"Rep. Hastings, Doc [R-WA-4]",03/15/2013,,,,2,House - Natural Resources,05/17/2013,"Placed on the Union Calendar, Calendar No. 42."
H.R. 1169,https://www.congress.gov/bill/113th-congress/house-bill/1169,113th Congress (2013-2014),,Naval Air Station Fallon Housing and Safety Development Act,"Rep. Amodei, Mark E. [R-NV-2]",03/14/2013,,,,0,House - Natural Resources,06/17/2013,"Placed on the Union Calendar, Calendar No. 79."
H.R. 1095,https://www.congress.gov/bill/113th-congress/house-bill/1095,113th Congress (2013-2014),,TSA Loose Change Act,"Rep. Miller, Jeff [R-FL-1]",03/12/2013,,,,43,"House - Homeland Security | Senate - Commerce, Science, and Transportation",12/09/2013,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
H.R. 1080,https://www.congress.gov/bill/113th-congress/house-bill/1080,113th Congress (2013-2014),,"To amend the Sikes Act to promote the use of cooperative agreements under such Act for land management related to Department of Defense readiness activities and to amend title 10, United States Code, to facilitate interagency cooperation in conservation programs to avoid or reduce adverse impacts on military readiness activities.","Rep. Bordallo, Madeleine Z. [D-GU-At Large]",03/12/2013,,,,0,"House - Armed Services, Natural Resources",06/17/2013,"Reported (Amended) by the Committee on Natural Resources. H. Rept. 113-115, Part I."
H.R. 938,https://www.congress.gov/bill/113th-congress/house-bill/938,113th Congress (2013-2014),,United States-Israel Strategic Partnership Act of 2014,"Rep. Ros-Lehtinen, Ileana [R-FL-27]",03/04/2013,,,,355,"House - Foreign Affairs, Judiciary, Science, Space, and Technology | Senate - Foreign Relations",03/06/2014,Received in the Senate and Read twice and referred to the Committee on Foreign Relations.
H.R. 910,https://www.congress.gov/bill/113th-congress/house-bill/910,113th Congress (2013-2014),,Sikes Act Reauthorization Act of 2013,"Rep. Fleming, John [R-LA-4]",02/28/2013,,,,0,"House - Natural Resources, Armed Services",06/24/2013,"Placed on the Union Calendar, Calendar No. 84."
H.R. 850,https://www.congress.gov/bill/113th-congress/house-bill/850,113th Congress (2013-2014),,Nuclear Iran Prevention Act of 2013,"Rep. Royce, Edward R. [R-CA-39]",02/27/2013,,,,378,"House - Foreign Affairs, Judiciary, Financial Services, Oversight and Government Reform, Ways and Means | Senate - Banking, Housing, and Urban Affairs",08/01/2013,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
H.R. 803,https://www.congress.gov/bill/113th-congress/house-bill/803,113th Congress (2013-2014),,Workforce Innovation and Opportunity Act,"Rep. Foxx, Virginia [R-NC-5]",02/25/2013,,,,23,"House - Education and the Workforce, Judiciary, Agriculture, Veterans' Affairs, Energy and Commerce, Transportation and Infrastructure | Senate - Health, Education, Labor, and Pensions",07/22/2014,Became Public Law No: 113-128.
H.R. 631,https://www.congress.gov/bill/113th-congress/house-bill/631,113th Congress (2013-2014),,Servicemembers' Choice in Transition Act of 2013,"Rep. Flores, Bill [R-TX-17]",02/13/2013,,,,8,"House - Armed Services, Veterans' Affairs",04/25/2013,Forwarded by Subcommittee to Full Committee in the Nature of a Substitute (Amended) by Voice Vote .
H.R. 606,https://www.congress.gov/bill/113th-congress/house-bill/606,113th Congress (2013-2014),,"To designate the facility of the United States Postal Service located at 815 County Road 23 in Tyrone, New York, as the ""Specialist Christopher Scott Post Office Building"".","Rep. Reed, Tom [R-NY-23]",02/08/2013,,,,26,House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,08/08/2014,Became Public Law No: 113-147.
H.R. 520,https://www.congress.gov/bill/113th-congress/house-bill/520,113th Congress (2013-2014),,Buffalo Soldiers in the National Parks Study Act,"Rep. Speier, Jackie [D-CA-14]",02/05/2013,,,,23,House - Natural Resources,12/20/2013,Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 285.
H.R. 503,https://www.congress.gov/bill/113th-congress/house-bill/503,113th Congress (2013-2014),,National Desert Storm and Desert Shield War Memorial Act,"Rep. Roe, David P. [R-TN-1]",02/05/2013,,,,107,House - Natural Resources,06/02/2014,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 403.
H.R. 462,https://www.congress.gov/bill/113th-congress/house-bill/462,113th Congress (2013-2014),,Utah National Guard Readiness Act,"Rep. Bishop, Rob [R-UT-1]",02/04/2013,,,,3,House - Natural Resources,05/17/2013,"Placed on the Union Calendar, Calendar No. 55."
H.R. 419,https://www.congress.gov/bill/113th-congress/house-bill/419,113th Congress (2013-2014),,Taiwan Policy Act of 2013,"Rep. Ros-Lehtinen, Ileana [R-FL-27]",01/25/2013,,,,27,"House - Foreign Affairs, Ways and Means",08/01/2013,Ordered to be Reported in the Nature of a Substitute (Amended) by Unanimous Consent.
H.R. 357,https://www.congress.gov/bill/113th-congress/house-bill/357,113th Congress (2013-2014),,GI Bill Tuition Fairness Act of 2014,"Rep. Miller, Jeff [R-FL-1]",01/23/2013,,,,50,House - Veterans' Affairs | Senate - Veterans' Affairs,02/04/2014,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 330,https://www.congress.gov/bill/113th-congress/house-bill/330,113th Congress (2013-2014),,Distinguished Flying Cross National Memorial Act,"Rep. Calvert, Ken [R-CA-42]",01/22/2013,,,,12,House - Natural Resources,07/25/2014,Became Public Law No: 113-132.
H.R. 258,https://www.congress.gov/bill/113th-congress/house-bill/258,113th Congress (2013-2014),,Stolen Valor Act of 2013,"Rep. Heck, Joseph J. [R-NV-3]",01/15/2013,,,,127,House - Judiciary,06/03/2013,Became Public Law No: 113-12.
H.R. 83,https://www.congress.gov/bill/113th-congress/house-bill/83,113th Congress (2013-2014),,"Consolidated and Further Continuing Appropriations Act, 2015","Rep. Christensen, Donna M. [D-VI-At Large]",01/03/2013,,,,4,House - Energy and Commerce,12/16/2014,Became Public Law No: 113-235.
